SID,model
SID-105727,Senographe Essential VERSION ADS_54.11
SID-105741,Senograph DS VERSION ADS_54.11
SID-105743,Senographe Essential VERSION ADS_54.11
SID-105747,Senographe Essential VERSION ADS_54.11
SID-105748,Senograph DS VERSION ADS_54.11
SID-105752,Senographe Essential VERSION ADS_54.11
SID-105760,Senographe Essential VERSION ADS_54.11
SID-105770,Senograph DS VERSION ADS_54.11
SID-105773,Senographe Essential VERSION ADS_54.11
SID-105785,Senograph DS VERSION ADS_54.11
SID-105806,Senographe Essential VERSION ADS_54.11
SID-105808,Senographe Essential VERSION ADS_54.11
SID-105825,Senographe Essential VERSION ADS_54.11
SID-105836,Senograph DS VERSION ADS_54.11
SID-105843,Senographe Essential VERSION ADS_54.11
SID-105844,Senograph DS VERSION ADS_54.11
SID-105851,Senographe Essential VERSION ADS_54.11
SID-105857,Senograph DS VERSION ADS_54.11
SID-105861,Senographe Essential VERSION ADS_54.11
SID-105863,Senographe Essential VERSION ADS_54.11
SID-105872,Senographe Essential VERSION ADS_54.11
SID-105874,Senograph DS VERSION ADS_54.11
SID-105894,Senographe Essential VERSION ADS_54.11
SID-105897,Senographe Essential VERSION ADS_54.11
SID-106938,Senograph DS ADS_43.10.1
SID-106988,Senograph DS VERSION ADS_54.11
SID-107011,Senograph DS ADS_43.10.1
SID-107030,Senograph DS ADS_43.10.1
SID-107163,Senograph DS ADS_43.10.1
SID-107268,Senograph DS ADS_43.10.1
SID-107318,Senograph DS ADS_43.10.1
SID-107338,Senograph DS ADS_43.10.1
SID-107366,Senograph DS ADS_43.10.1
SID-107386,Senograph DS ADS_43.10.1
SID-107392,Senograph DS ADS_43.10.1
SID-107472,Senograph DS ADS_43.10.1
SID-107496,Senograph DS ADS_43.10.1
SID-107713,Senograph DS ADS_43.10.1
SID-107799,Senograph DS ADS_43.10.1
SID-107880,Senograph DS ADS_43.10.1
SID-108256,Senograph DS ADS_43.10.1
SID-108342,Senograph DS ADS_43.10.1
SID-108363,Senograph DS ADS_43.10.1
SID-108370,Senograph DS ADS_43.10.1
SID-108423,Senograph DS ADS_43.10.1
